orf1	0-53
orf2072	14650-14700
orf2072-r	144833-144856
orf2073	14701-14799
orf2073-r	144776-144832
orf2074	14800-14991
orf2074-r	144719-144775
orf2075	15004-15060
orf2075-r	144650-144718
orf2076	15061-15084
orf2076-r	144620-144649
orf2077	15115-15177
orf2077-r	144581-144616
orf2078	15178-15213
orf2078-r	144443-144574
orf2079	15214-15237
orf2079-r	144380-144442
orf208	16329-16406
orf208-r	141384-141431
orf2080	15238-15324
orf2080-r	144344-144379
orf2081	15325-15369
orf2081-r	144305-144343
orf2082	15370-15402
orf2082-r	144266-144304
orf2083	15403-15429
orf2083-r	144239-144265
orf2084	15430-15465
orf2084-r	144185-144223
orf2085	15478-15513
orf2085-r	144149-144184
orf2086	15514-15537
orf2086-r	144053-144148
orf2087	15538-15579
orf2087-r	143984-144049
orf2088	15580-15723
orf2088-r	143915-143983
orf2089	15736-15780
orf2089-r	143735-143914
orf209	16407-16436
orf209-r	141348-141383
orf2090	15796-15900
orf2090-r	143657-143734
orf2091	15901-16011
orf2091-r	143597-143647
orf2092	16063-16194
orf2092-r	143543-143596
orf2093	16195-16347
orf2093-r	143492-143527
orf2094	16348-16374
orf2094-r	143387-143437
orf2095	16375-16419
orf2095-r	143270-143359
orf2096	16420-16593
orf2096-r	143249-143269
orf2097	16594-16863
orf2097-r	143195-143239
orf2098	16873-16899
orf2098-r	143171-143194
orf2099	16900-16935
orf2099-r	142967-143158
orf21	1359-1463
orf21-r	155217-155249
orf210	16437-16475
orf210-r	141240-141347
orf2100	16951-17046
orf2100-r	142943-142966
orf2101	17053-17118
orf2101-r	142910-142942
orf2102	17119-17220
orf2102-r	142877-142909
orf2103	17251-17448
orf2103-r	142634-142876
orf2104	17449-17484
orf2104-r	142577-142621
orf2105	17485-17646
orf2105-r	142448-142573
orf2106	17647-17712
orf2106-r	142373-142438
orf2107	17725-17757
orf2107-r	142328-142372
orf2108	17767-17814
orf2108-r	142268-142327
orf2109	17815-17919
orf2109-r	142190-142267
orf211	16488-16514
orf211-r	141189-141239
orf2110	17920-18027
orf2110-r	142082-142189
orf2111	18028-18366
orf2111-r	141947-142081
orf2112	18367-18456
orf2112-r	141896-141946
orf2113	18457-18552
orf2113-r	141851-141895
orf2114	18553-18585
orf2114-r	141713-141850
orf2115	18586-18696
orf2115-r	141665-141712
orf2116	18715-18780
orf2116-r	141617-141664
orf2117	18781-18801
orf2117-r	141572-141616
orf2118	18802-18834
orf2118-r	141482-141571
orf2119	18835-18876
orf2119-r	141125-141481
orf212	16530-16643
orf212-r	141120-141188
orf2120	18877-18906
orf2120-r	140834-141124
orf2121	18907-18963
orf2121-r	140723-140833
orf2122	18964-19077
orf2122-r	140615-140722
orf2123	19096-19182
orf2123-r	140588-140608
orf2124	19183-19203
orf2124-r	140555-140587
orf2125	19204-19227
orf2125-r	140495-140554
orf2126	19228-19275
orf2126-r	140387-140494
orf2127	19303-19404
orf2127-r	140312-140359
orf2128	19405-19563
orf2128-r	140207-140287
orf2129	19564-19647
orf2129-r	139985-140206
orf213	16659-16739
orf213-r	141069-141116
orf2130	19648-19761
orf2130-r	139946-139984
orf2131	19771-19899
orf2131-r	139919-139945
orf2132	19900-19932
orf2132-r	139862-139918
orf2133	19936-20052
orf2133-r	139817-139861
orf2134	20053-20073
orf2134-r	139775-139813
orf2135	20074-20109
orf2135-r	139700-139765
orf2136	20110-20166
orf2136-r	139676-139699
orf2137	20167-20214
orf2137-r	139637-139675
orf2138	20215-20373
orf2138-r	139589-139636
orf2139	20383-20454
orf2139-r	139553-139588
orf214	16740-16760
orf214-r	141042-141068
orf2140	20455-20583
orf2140-r	139373-139549
orf2141	20584-20631
orf2141-r	139313-139360
orf2142	20632-20817
orf2142-r	139247-139312
orf2143	20818-20856
orf2143-r	139199-139246
orf2144	20857-20889
orf2144-r	139160-139183
orf2145	20890-20967
orf2145-r	139136-139159
orf2146	20968-21000
orf2146-r	138983-139135
orf2147	21001-21057
orf2147-r	138932-138982
orf2148	21058-21093
orf2148-r	138902-138931
orf2149	21094-21147
orf2149-r	138881-138901
orf215	16761-16832
orf215-r	140982-141041
orf2150	21181-21276
orf2150-r	138692-138880
orf2151	21277-21480
orf2151-r	138599-138649
orf2152	21481-21507
orf2152-r	138557-138598
orf2153	21508-21528
orf2153-r	138470-138556
orf2154	21529-21549
orf2154-r	138371-138469
orf2155	21550-21588
orf2155-r	138185-138370
orf2156	21589-21663
orf2156-r	138017-138184
orf2157	21691-21792
orf2157-r	137984-138016
orf2158	21796-21828
orf2158-r	137840-137971
orf2159	21847-21885
orf2159-r	137777-137821
orf216	16833-16922
orf216-r	140934-140981
orf2160	21889-21960
orf2160-r	137600-137776
orf2161	21961-21981
orf2161-r	137537-137599
orf2162	22012-22035
orf2162-r	137513-137536
orf2163	22036-22167
orf2163-r	137420-137512
orf2164	22189-22218
orf2164-r	137264-137383
orf2165	22231-22251
orf2165-r	137177-137263
orf2166	22252-22290
orf2166-r	137090-137176
orf2167	22294-22407
orf2167-r	136871-137089
orf2168	22408-22437
orf2168-r	136712-136861
orf2169	22438-22464
orf2169-r	136571-136711
orf217	16923-16943
orf217-r	140826-140933
orf2170	22465-22536
orf2170-r	136532-136570
orf2171	22537-22698
orf2171-r	136436-136519
orf2172	22717-22797
orf2172-r	136307-136435
orf2173	22798-22827
orf2173-r	136262-136306
orf2174	22828-22863
orf2174-r	136202-136261
orf2175	22864-22950
orf2175-r	136052-136201
orf2176	22951-23037
orf2176-r	135998-136051
orf2177	23050-23118
orf2177-r	135962-135997
orf2178	23119-23148
orf2178-r	135890-135946
orf2179	23149-23175
orf2179-r	135854-135889
orf218	16944-16985
orf218-r	140697-140825
orf2180	23185-23214
orf2180-r	135827-135853
orf2181	23215-23319
orf2181-r	135785-135826
orf2182	23344-23370
orf2182-r	135539-135775
orf2183	23371-23391
orf2183-r	135449-135538
orf2184	23392-23487
orf2184-r	135389-135448
orf2185	23503-23853
orf2185-r	135365-135388
orf2186	23854-23904
orf2186-r	135329-135364
orf2187	23923-23967
orf2187-r	135143-135328
orf2188	23968-24018
orf2188-r	135068-135121
orf2189	24019-24054
orf2189-r	135047-135067
orf219	16986-17057
orf219-r	140409-140696
orf2190	24055-24075
orf2190-r	135020-135046
orf2191	24076-24291
orf2191-r	134942-135019
orf2192	24295-24390
orf2192-r	134849-134926
orf2193	24391-24480
orf2193-r	134801-134848
orf2194	24481-24513
orf2194-r	134654-134791
orf2195	24514-24582
orf2195-r	134582-134635
orf2196	24601-24624
orf2196-r	134396-134581
orf2197	24625-24648
orf2197-r	134348-134380
orf2198	24649-24672
orf2198-r	134297-134347
orf2199	24673-24771
orf2199-r	134222-134278
orf22	1464-1535
orf22-r	155175-155216
orf220	17058-17141
orf220-r	140202-140408
orf2200	24772-24810
orf2200-r	134042-134221
orf2201	24835-24870
orf2201-r	134006-134041
orf2202	24889-25092
orf2202-r	133844-134005
orf2203	25120-25191
orf2203-r	133781-133828
orf2204	25192-25266
orf2204-r	133631-133780
orf2205	25267-25320
orf2205-r	133580-133630
orf2206	25321-25377
orf2206-r	133475-133564
orf2207	25393-25743
orf2207-r	133373-133462
orf2208	25744-25851
orf2208-r	133232-133372
orf2209	25852-25872
orf2209-r	133154-133231
orf221	17142-17195
orf221-r	139995-140186
orf2210	25873-25962
orf2210-r	133031-133153
orf2211	25963-26040
orf2211-r	132851-133030
orf2212	26041-26070
orf2212-r	132767-132850
orf2213	26071-26109
orf2213-r	132731-132766
orf2214	26110-26187
orf2214-r	132428-132730
orf2215	26188-26328
orf2215-r	132260-132427
orf2216	26332-26364
orf2216-r	132191-132253
orf2217	26365-26412
orf2217-r	132020-132190
orf2218	26419-26505
orf2218-r	131993-132019
orf2219	26506-26538
orf2219-r	131909-131992
orf222	17211-17234
orf222-r	139872-139994
orf2220	26539-26574
orf2220-r	131804-131908
orf2221	26575-26637
orf2221-r	131738-131803
orf2222	26638-26658
orf2222-r	131678-131737
orf2223	26662-26802
orf2223-r	131507-131674
orf2224	26812-26832
orf2224-r	131462-131494
orf2225	26833-26862
orf2225-r	131339-131443
orf2226	26863-26895
orf2226-r	131165-131338
orf2227	26899-26922
orf2227-r	131063-131164
orf2228	26923-26946
orf2228-r	130907-131062
orf2229	26977-27027
orf2229-r	130862-130906
orf223	17247-17282
orf223-r	139827-139871
orf2230	27028-27132
orf2230-r	130775-130831
orf2231	27133-27171
orf2231-r	130547-130774
orf2232	27172-27225
orf2232-r	130436-130546
orf2233	27232-27264
orf2233-r	130406-130435
orf2234	27265-27366
orf2234-r	130295-130405
orf2235	27385-27462
orf2235-r	130202-130294
orf2236	27469-27492
orf2236-r	130154-130198
orf2237	27493-27549
orf2237-r	130091-130153
orf2238	27550-27573
orf2238-r	130001-130090
orf2239	27574-27597
orf2239-r	129962-130000
orf224	17283-17321
orf224-r	139734-139826
orf2240	27598-27753
orf2240-r	129935-129961
orf2241	27784-27843
orf2241-r	129899-129919
orf2242	27850-27873
orf2242-r	129863-129898
orf2243	27880-27903
orf2243-r	129830-129862
orf2244	27904-27984
orf2244-r	129794-129829
orf2245	27985-28008
orf2245-r	129731-129766
orf2246	28015-28056
orf2246-r	129614-129730
orf2247	28057-28110
orf2247-r	129569-129595
orf2248	28111-28140
orf2248-r	129479-129565
orf2249	28141-28194
orf2249-r	129377-129469
orf225	17322-17384
orf225-r	139689-139733
orf2250	28195-28287
orf2250-r	129329-129376
orf2251	28294-28338
orf2251-r	129308-129328
orf2252	28354-28377
orf2252-r	129263-129289
orf2253	28378-28539
orf2253-r	129206-129262
orf2254	28540-28659
orf2254-r	129137-129175
orf2255	28693-28812
orf2255-r	129098-129121
orf2256	28831-28875
orf2256-r	129065-129097
orf2257	28876-29001
orf2257-r	129002-129064
orf2258	29002-29133
orf2258-r	128978-129001
orf2259	29134-29232
orf2259-r	128936-128977
orf226	17388-17462
orf226-r	139647-139688
orf2260	29233-29310
orf2260-r	128792-128881
orf2261	29311-29424
orf2261-r	128702-128791
orf2262	29434-29490
orf2262-r	128672-128692
orf2263	29533-29562
orf2263-r	128627-128671
orf2264	29563-29586
orf2264-r	128597-128626
orf2265	29587-29622
orf2265-r	128576-128596
orf2266	29644-29691
orf2266-r	128489-128575
orf2267	29710-29844
orf2267-r	128453-128488
orf2268	29884-29946
orf2268-r	128387-128452
orf2269	29947-29988
orf2269-r	128255-128359
orf227	17463-17510
orf227-r	139626-139646
orf2270	29989-30090
orf2270-r	128123-128218
orf2271	30091-30129
orf2271-r	127976-128122
orf2272	30130-30195
orf2272-r	127952-127975
orf2273	30202-30225
orf2273-r	127901-127951
orf2274	30226-30276
orf2274-r	127865-127891
orf2275	30277-30342
orf2275-r	127811-127861
orf2276	30349-30381
orf2276-r	127769-127810
orf2277	30382-30453
orf2277-r	127697-127750
orf2278	30454-30573
orf2278-r	127619-127684
orf2279	30574-30603
orf2279-r	127589-127618
orf228	17511-17534
orf228-r	139575-139610
orf2280	30625-30645
orf2280-r	127553-127588
orf2281	30646-30804
orf2281-r	127520-127552
orf2282	30805-30828
orf2282-r	127496-127519
orf2283	30829-30885
orf2283-r	127457-127495
orf2284	30886-30918
orf2284-r	127400-127456
orf2285	30919-30996
orf2285-r	127301-127360
orf2286	30997-31047
orf2286-r	127247-127300
orf2287	31051-31086
orf2287-r	127205-127246
orf2288	31102-31137
orf2288-r	127073-127159
orf2289	31138-31209
orf2289-r	127016-127072
orf229	17535-17567
orf229-r	139545-139574
orf2290	31210-31311
orf2290-r	126905-127015
orf2291	31312-31371
orf2291-r	126884-126904
orf2292	31372-31395
orf2292-r	126824-126880
orf2293	31396-31446
orf2293-r	126770-126817
orf2294	31447-31527
orf2294-r	126740-126766
orf2295	31534-31617
orf2295-r	126719-126739
orf2296	31618-31656
orf2296-r	126680-126700
orf2297	31657-31680
orf2297-r	126623-126661
orf2298	31681-31734
orf2298-r	126593-126613
orf2299	31762-31788
orf2299-r	126488-126574
orf23	1536-1646
orf23-r	155121-155174
orf230	17586-17693
orf230-r	139509-139544
orf2300	31789-31878
orf2300-r	126431-126472
orf2301	31879-31911
orf2301-r	126311-126373
orf2302	31939-31965
orf2302-r	126284-126310
orf2303	31981-32124
orf2303-r	126188-126274
orf2304	32137-32196
orf2304-r	126161-126187
orf2305	32209-32265
orf2305-r	126134-126160
orf2306	32266-32388
orf2306-r	125936-126133
orf2307	32395-32421
orf2307-r	125891-125914
orf2308	32422-32745
orf2308-r	125828-125866
orf2309	32746-32841
orf2309-r	125768-125794
orf231	17709-17741
orf231-r	139473-139508
orf2310	32842-32868
orf2310-r	125708-125767
orf2311	32869-32892
orf2311-r	125636-125707
orf2312	32926-33009
orf2312-r	125543-125611
orf2313	33010-33084
orf2313-r	125480-125533
orf2314	33085-33141
orf2314-r	125444-125479
orf2315	33142-33174
orf2315-r	125351-125431
orf2316	33175-33240
orf2316-r	125315-125344
orf2317	33241-33285
orf2317-r	125288-125314
orf2318	33289-33393
orf2318-r	125234-125287
orf2319	33394-33444
orf2319-r	125204-125224
orf232	17742-17807
orf232-r	139425-139472
orf2320	33445-33498
orf2320-r	125135-125188
orf2321	33514-33534
orf2321-r	124835-125119
orf2322	33535-33573
orf2322-r	124766-124834
orf2323	33574-33747
orf2323-r	124697-124765
orf2324	33793-33882
orf2324-r	124673-124693
orf2325	33883-35346
orf2325-r	124643-124672
orf2326	35347-35466
orf2326-r	124592-124639
orf2327	35467-35628
orf2327-r	124514-124591
orf2328	35629-35649
orf2328-r	124475-124513
orf2329	35650-35763
orf2329-r	124433-124456
orf233	17808-17831
orf233-r	139380-139424
orf2330	35764-35820
orf2330-r	124367-124426
orf2331	35833-35880
orf2331-r	124217-124342
orf2332	35881-35901
orf2332-r	124160-124216
orf2333	35917-35937
orf2333-r	124127-124147
orf2334	35971-35994
orf2334-r	124031-124126
orf2335	35995-36084
orf2335-r	123902-124030
orf2336	36097-36165
orf2336-r	123839-123859
orf2337	36166-36279
orf2337-r	123806-123838
orf2338	36280-36381
orf2338-r	123692-123805
orf2339	36382-36405
orf2339-r	123665-123685
orf234	17832-17942
orf234-r	139302-139379
orf2340	36406-36468
orf2340-r	123572-123649
orf2341	36496-36525
orf2341-r	122900-123523
orf2342	36529-36582
orf2342-r	122840-122893
orf2343	36583-36684
orf2343-r	122777-122830
orf2344	36685-36729
orf2344-r	122690-122776
orf2345	36730-36783
orf2345-r	122540-122689
orf2346	36784-36804
orf2346-r	122468-122539
orf2347	36805-36912
orf2347-r	122441-122461
orf2348	36913-36954
orf2348-r	122282-122440
orf2349	36955-37107
orf2349-r	122213-122281
orf235	17943-18086
orf235-r	139257-139301
orf2350	37108-37230
orf2350-r	122165-122194
orf2351	37237-37341
orf2351-r	122126-122164
orf2352	37342-37497
orf2352-r	122069-122110
orf2353	37510-37539
orf2353-r	122009-122068
orf2354	37540-37578
orf2354-r	121973-122008
orf2355	37579-37602
orf2355-r	121925-121966
orf2356	37603-37644
orf2356-r	121886-121924
orf2357	37672-37728
orf2357-r	121832-121885
orf2358	37729-37779
orf2358-r	121760-121816
orf2359	37780-37893
orf2359-r	121679-121729
orf236	18087-18119
orf236-r	139191-139241
orf2360	37894-37929
orf2360-r	121613-121675
orf2361	37930-37956
orf2361-r	121517-121570
orf2362	37957-37977
orf2362-r	121490-121516
orf2363	37978-38001
orf2363-r	121466-121489
orf2364	38011-38037
orf2364-r	121406-121465
orf2365	38050-38091
orf2365-r	121337-121387
orf2366	38098-38118
orf2366-r	121304-121336
orf2367	38119-38229
orf2367-r	121271-121294
orf2368	38245-38265
orf2368-r	120668-121252
orf2369	38266-38295
orf2369-r	120626-120667
orf237	18120-18185
orf237-r	139053-139175
orf2370	38296-38418
orf2370-r	120605-120625
orf2371	38419-38466
orf2371-r	120575-120595
orf2372	38467-38490
orf2372-r	120521-120574
orf2373	38530-38586
orf2373-r	120425-120520
orf2374	38587-38616
orf2374-r	120338-120424
orf2375	38617-38697
orf2375-r	119888-120337
orf2376	38698-38727
orf2376-r	119837-119887
orf2377	38728-38766
orf2377-r	119765-119836
orf2378	38767-38883
orf2378-r	119645-119710
orf2379	38893-38949
orf2379-r	119609-119644
orf238	18186-18389
orf238-r	139029-139052
orf2380	38950-38991
orf2380-r	119567-119590
orf2381	38992-39012
orf2381-r	119531-119566
orf2382	39013-39060
orf2382-r	119480-119530
orf2383	39082-39102
orf2383-r	119456-119479
orf2384	39106-39144
orf2384-r	119423-119455
orf2385	39145-39285
orf2385-r	119393-119422
orf2386	39304-39369
orf2386-r	119360-119392
orf2387	39370-39495
orf2387-r	119297-119359
orf2388	39496-39522
orf2388-r	119225-119281
orf2389	39523-39570
orf2389-r	119195-119224
orf239	18390-18437
orf239-r	138966-139010
orf2390	39571-39666
orf2390-r	119162-119191
orf2391	39676-39723
orf2391-r	119027-119161
orf2392	39724-39750
orf2392-r	118985-119023
orf2393	39769-39885
orf2393-r	118883-118984
orf2394	39892-39921
orf2394-r	118805-118882
orf2395	39922-39951
orf2395-r	118754-118798
orf2396	39952-39984
orf2396-r	118694-118744
orf2397	39985-40191
orf2397-r	118634-118693
orf2398	40192-40239
orf2398-r	117035-118624
orf2399	40240-40299
orf2399-r	117002-117034
orf24	1647-1676
orf24-r	155013-155120
orf240	18438-18467
orf240-r	138801-138965
orf2400	40300-40389
orf2400-r	116975-117001
orf2401	40390-40494
orf2401-r	116915-116956
orf2402	40525-40557
orf2402-r	116804-116905
orf2403	40558-40581
orf2403-r	116666-116764
orf2404	40582-40614
orf2404-r	116549-116665
orf2405	40615-40644
orf2405-r	116492-116533
orf2406	40645-40674
orf2406-r	116465-116491
orf2407	40675-40725
orf2407-r	116441-116464
orf2408	40753-40818
orf2408-r	116393-116440
orf2409	40819-40851
orf2409-r	116330-116383
orf241	18468-18581
orf241-r	138771-138800
orf2410	40852-40875
orf2410-r	116279-116299
orf2411	40876-40917
orf2411-r	116255-116278
orf2412	40918-41022
orf2412-r	116201-116221
orf2413	41023-41088
orf2413-r	116141-116200
orf2414	41089-41115
orf2414-r	116072-116140
orf2415	41116-41145
orf2415-r	116015-116035
orf2416	41146-41229
orf2416-r	115970-116011
orf2417	41230-41355
orf2417-r	115937-115957
orf2418	41356-41484
orf2418-r	115904-115924
orf2419	41494-41568
orf2419-r	115877-115903
orf242	18582-18656
orf242-r	138636-138761
orf2420	41569-41595
orf2420-r	115844-115864
orf2421	41596-41682
orf2421-r	115808-115843
orf2422	41698-41754
orf2422-r	115679-115807
orf2423	41755-41802
orf2423-r	115637-115672
orf2424	41803-41877
orf2424-r	115493-115585
orf2425	41878-41943
orf2425-r	115436-115492
orf2426	41944-42006
orf2426-r	115325-115435
orf2427	42019-42063
orf2427-r	115295-115324
orf2428	42067-42153
orf2428-r	115175-115294
orf2429	42154-42222
orf2429-r	115103-115171
orf243	18657-18767
orf243-r	138603-138635
orf2430	42223-42303
orf2430-r	115076-115096
orf2431	42304-42411
orf2431-r	115055-115075
orf2432	42412-42474
orf2432-r	114971-115030
orf2433	42475-42522
orf2433-r	114920-114943
orf2434	42523-42588
orf2434-r	114875-114919
orf2435	42589-42741
orf2435-r	114806-114874
orf2436	42760-42792
orf2436-r	114752-114805
orf2437	42793-42828
orf2437-r	114683-114721
orf2438	42829-42864
orf2438-r	114632-114673
orf2439	42865-42903
orf2439-r	114593-114631
orf244	18798-18866
orf244-r	138450-138590
orf2440	42913-43014
orf2440-r	114557-114586
orf2441	43015-43041
orf2441-r	114437-114538
orf2442	43051-43086
orf2442-r	114374-114424
orf2443	43087-43140
orf2443-r	114275-114373
orf2444	43141-43185
orf2444-r	114236-114274
orf2445	43186-43209
orf2445-r	114194-114235
orf2446	43213-43242
orf2446-r	114140-114187
orf2447	43267-43347
orf2447-r	114116-114139
orf2448	43348-43434
orf2448-r	114065-114115
orf2449	43435-43491
orf2449-r	114014-114064
orf245	18867-18977
orf245-r	138384-138449
orf2450	43492-43638
orf2450-r	113975-113998
orf2451	43669-43725
orf2451-r	113945-113974
orf2452	43726-43758
orf2452-r	113912-113944
orf2453	43780-43839
orf2453-r	113867-113899
orf2454	43840-43956
orf2454-r	113648-113866
orf2455	43957-43983
orf2455-r	113552-113644
orf2456	43984-44187
orf2456-r	113462-113530
orf2457	44188-44238
orf2457-r	113279-113461
orf2458	44239-44295
orf2458-r	113246-113278
orf2459	44296-44352
orf2459-r	113165-113227
orf246	18978-19058
orf246-r	138327-138383
orf2460	44353-44373
orf2460-r	113129-113164
orf2461	44374-44397
orf2461-r	112937-113128
orf2462	44404-44487
orf2462-r	112754-112936
orf2463	44488-44652
orf2463-r	112628-112753
orf2464	44653-44679
orf2464-r	112520-112612
orf2465	44701-44721
orf2465-r	112478-112519
orf2466	44722-44757
orf2466-r	112430-112477
orf2467	44758-44799
orf2467-r	112382-112417
orf2468	44803-44838
orf2468-r	112334-112372
orf2469	44842-44919
orf2469-r	112304-112330
orf247	19059-19193
orf247-r	138090-138326
orf2470	44920-45063
orf2470-r	112181-112285
orf2471	45064-45162
orf2471-r	112154-112180
orf2472	45163-45189
orf2472-r	112097-112153
orf2473	45190-45258
orf2473-r	111893-112078
orf2474	45259-45363
orf2474-r	111863-111892
orf2475	45385-45444
orf2475-r	111812-111862
orf2476	45445-45504
orf2476-r	111743-111796
orf2477	45529-45591
orf2477-r	111656-111742
orf2478	45592-45801
orf2478-r	111578-111649
orf2479	45805-45963
orf2479-r	111500-111565
orf248	19200-19223
orf248-r	137964-138089
orf2480	45964-46026
orf2480-r	111395-111499
orf2481	46033-46098
orf2481-r	111302-111391
orf2482	46099-46140
orf2482-r	111248-111301
orf2483	46156-46230
orf2483-r	111182-111247
orf2484	46234-46323
orf2484-r	111125-111181
orf2485	46324-46377
orf2485-r	111095-111124
orf2486	46426-46449
orf2486-r	111053-111094
orf2487	46450-46488
orf2487-r	110978-111016
orf2488	46504-46527
orf2488-r	110945-110977
orf2489	46528-46623
orf2489-r	110837-110941
orf249	19224-19298
orf249-r	137835-137963
orf2490	46639-46659
orf2490-r	110801-110836
orf2491	46675-46722
orf2491-r	110642-110797
orf2492	46723-46743
orf2492-r	110621-110641
orf2493	46828-46857
orf2493-r	110540-110602
orf2494	46858-46902
orf2494-r	110504-110539
orf2495	46903-46938
orf2495-r	110408-110503
orf2496	46939-47094
orf2496-r	110327-110407
orf2497	47104-47157
orf2497-r	110279-110326
orf2498	47158-47223
orf2498-r	110213-110248
orf2499	47224-47262
orf2499-r	110108-110212
orf25	1689-1718
orf25-r	154920-155012
orf250	19299-19451
orf250-r	137796-137834
orf2500	47263-47334
orf2500-r	110042-110089
orf2501	47335-47406
orf2501-r	109985-110041
orf2502	47407-47430
orf2502-r	109895-109963
orf2503	47431-47532
orf2503-r	109868-109894
orf2504	47545-47604
orf2504-r	109808-109858
orf2505	47605-47691
orf2505-r	109622-109807
orf2506	47692-47757
orf2506-r	109496-109621
orf2507	47758-47832
orf2507-r	109433-109495
orf2508	47842-47886
orf2508-r	109400-109432
orf2509	47887-48018
orf2509-r	109301-109399
orf251	19467-19604
orf251-r	137763-137795
orf2510	48019-48138
orf2510-r	109235-109300
orf2511	48139-48210
orf2511-r	109199-109234
orf2512	48229-48276
orf2512-r	109130-109174
orf2513	48277-48312
orf2513-r	109082-109129
orf2514	48313-48354
orf2514-r	108683-109081
orf2515	48355-48402
orf2515-r	108659-108682
orf2516	48403-48423
orf2516-r	108593-108658
orf2517	48424-48468
orf2517-r	108473-108592
orf2518	48484-48603
orf2518-r	108242-108472
orf2519	48604-48627
orf2519-r	108191-108223
orf252	19605-19688
orf252-r	137559-137744
orf2520	48628-48756
orf2520-r	108068-108190
orf2521	48757-48840
orf2521-r	107942-108067
orf2522	48841-48927
orf2522-r	107471-107941
orf2523	48928-48951
orf2523-r	107438-107470
orf2524	48961-48993
orf2524-r	107378-107437
orf2525	48994-49029
orf2525-r	107339-107377
orf2526	49048-49110
orf2526-r	107180-107338
orf2527	49120-49140
orf2527-r	107060-107179
orf2528	49156-49275
orf2528-r	106961-107038
orf2529	49276-49314
orf2529-r	106826-106942
orf253	19707-19739
orf253-r	137481-137558
orf2530	49315-49335
orf2530-r	106796-106825
orf2531	49342-49437
orf2531-r	106733-106777
orf2532	49438-49509
orf2532-r	106688-106732
orf2533	49510-49545
orf2533-r	106667-106687
orf2534	49546-49584
orf2534-r	106427-106666
orf2535	49585-49665
orf2535-r	106265-106426
orf2536	49726-49755
orf2536-r	106199-106264
orf2537	49756-49857
orf2537-r	106043-106198
orf2538	49858-49902
orf2538-r	106001-106042
orf2539	49903-50079
orf2539-r	105968-105994
orf254	19758-19805
orf254-r	137232-137480
orf2540	50080-50145
orf2540-r	105941-105967
orf2541	50146-50274
orf2541-r	105878-105940
orf2542	50275-50301
orf2542-r	105824-105877
orf2543	50302-50376
orf2543-r	105764-105823
orf2544	50401-50556
orf2544-r	105659-105763
orf2545	50557-50580
orf2545-r	105551-105658
orf2546	50581-50619
orf2546-r	105494-105550
orf2547	50626-50682
orf2547-r	105293-105493
orf2548	50683-50724
orf2548-r	105104-105292
orf2549	50725-50787
orf2549-r	105047-105094
orf255	19806-19904
orf255-r	136992-137231
orf2550	50806-50907
orf2550-r	104897-105031
orf2551	50914-50964
orf2551-r	104714-104896
orf2552	50977-51000
orf2552-r	104597-104713
orf2553	51079-51168
orf2553-r	104561-104596
orf2554	51178-51249
orf2554-r	104531-104557
orf2555	51274-51354
orf2555-r	104498-104530
orf2556	51355-51507
orf2556-r	104414-104497
orf2557	51508-51621
orf2557-r	104300-104413
orf2558	51625-51645
orf2558-r	104090-104299
orf2559	51655-51792
orf2559-r	103907-104089
orf256	19905-19982
orf256-r	136884-136991
orf2560	51793-51885
orf2560-r	103739-103903
orf2561	51901-51954
orf2561-r	103610-103738
orf2562	51955-52002
orf2562-r	103589-103609
orf2563	52003-52038
orf2563-r	103496-103588
orf2564	52039-52077
orf2564-r	103463-103495
orf2565	52078-52203
orf2565-r	103400-103462
orf2566	52204-52230
orf2566-r	103250-103399
orf2567	52243-52281
orf2567-r	103178-103249
orf2568	52282-52317
orf2568-r	103013-103177
orf2569	52348-52407
orf2569-r	102968-103012
orf257	19983-20006
orf257-r	136839-136883
orf2570	52417-52458
orf2570-r	102563-102967
orf2571	52462-52545
orf2571-r	102386-102562
orf2572	52546-52614
orf2572-r	102362-102385
orf2573	52615-52638
orf2573-r	102323-102346
orf2574	52648-52668
orf2574-r	101837-102322
orf2575	52699-52752
orf2575-r	101780-101836
orf2576	52765-52839
orf2576-r	101687-101773
orf2577	52840-52881
orf2577-r	101612-101686
orf2578	52885-52944
orf2578-r	101552-101596
orf2579	52966-52992
orf2579-r	101510-101551
orf258	20028-20087
orf258-r	136686-136838
orf2580	53008-53181
orf2580-r	101483-101509
orf2581	53182-53214
orf2581-r	101276-101482
orf2582	53218-53256
orf2582-r	101252-101275
orf2583	53263-53352
orf2583-r	101204-101233
orf2584	53353-53379
orf2584-r	101006-101197
orf2585	53389-53442
orf2585-r	100913-101005
orf2586	53443-53523
orf2586-r	100817-100894
orf2587	53524-53544
orf2587-r	100715-100816
orf2588	53545-53586
orf2588-r	100589-100702
orf2589	53587-53628
orf2589-r	100532-100588
orf259	20088-20117
orf259-r	136584-136685
orf2590	53629-53667
orf2590-r	100301-100522
orf2591	53680-53706
orf2591-r	100184-100288
orf2592	53716-53760
orf2592-r	100151-100183
orf2593	53761-53802
orf2593-r	100082-100138
orf2594	53803-53832
orf2594-r	100049-100081
orf2595	53833-53934
orf2595-r	99971-100048
orf2596	53938-53973
orf2596-r	99887-99970
orf2597	53992-54045
orf2597-r	99836-99886
orf2598	54046-54105
orf2598-r	99797-99817
orf2599	54127-54162
orf2599-r	99692-99796
orf26	1728-1772
orf26-r	154740-154919
orf260	20118-20237
orf260-r	136410-136583
orf2600	54193-54363
